bank,ifsc,branch,centre,district,state,address,contact,imps,rtgs,city,neft,micr
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065001,RTGS-HO,MUMBAI,MUMBAI,MAHARASHTRA,"ABHYUDAYA BANK BLDG., B.NO.71, NEHRU NAGAR, KURLA (E), MUMBAI-400024",25260173,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065002,ABHYUDAYA NAGAR,MUMBAI,MUMBAI,MAHARASHTRA,"ABHYUDAYA EDUCATION SOCIETY, OPP. BLDG. NO. 18, ABHYUDAYA NAGAR, KALACHOWKY, MUMBAI - 400033",24702643,true,true,GREATER MUMBAI,true,400065002
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065003,BAIL BAZAR,MUMBAI,MUMBAI,MAHARASHTRA,"KMSPM'S SCHOOL, WADIA ESTATE, BAIL BAZAR-KURLA(W), MUMBAI-400070",25032202,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065004,BHANDUP,MUMBAI,MUMBAI,MAHARASHTRA,"CHETNA APARTMENTS, J.M.ROAD, BHANDUP, MUMBAI-400078",25963157,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065005,DARUKHANA,MUMBAI,MUMBAI,MAHARASHTRA,"POTIA IND.ESTATE, REAY ROAD (E), DARUKHANA, MUMBAI-400010",23778164,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065006,FORT,MUMBAI,MUMBAI,MAHARASHTRA,"ABHYUDAYA BANK BLDG., 251, PERIN NARIMAN STREET, FORT, MUMBAI-400001",22614468,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065007,GHATKOPAR,MUMBAI,MUMBAI,MAHARASHTRA,"UNIT NO 2 & 3, SILVER HARMONY BLDG,NEW MANIKLAL ESTATE, GHATKOPAR (WEST), MUMBAI-400086",25116673,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065008,KANJUR,MUMBAI,MUMBAI,MAHARASHTRA,"BHANDARI CO-OP. HSG. SOCIETY, KANJUR VILLAGE, KANJUR (EAST), MUMBAI-400078",25783519,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065009,NEHRU NAGAR,MUMBAI,MUMBAI,MAHARASHTRA,"ABHYUDAYA BANK BLDG., B.NO.71, NEHRU NAGAR, KURLA (E), MUMBAI-400024",25222386,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065010,PAREL,MUMBAI,MUMBAI,MAHARASHTRA,"SHRAMA SAFALYA, 63 G.D.AMBEKAR MARG, PAREL VILLAGE, MUMBAI-400012",24137707,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065011,SEWRI,MUMBAI,MUMBAI,MAHARASHTRA,"NAVNIDHI INDUSTRIAL ESTATE, ACHARYA DONDHE MARG, SEWRI, MUMBAI-400015",24136008,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065012,WADALA,MUMBAI,MUMBAI,MAHARASHTRA,"B.P.T.MARKET BLDG., NADKARNI PARK, WADALA (EAST), MUMBAI-400037",24184512,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065013,WORLI,MUMBAI,MUMBAI,MAHARASHTRA,"LANDMARK,NEXT TO MAHINDRA TOWERS, PLOT NO.1, J M BHOSLE MARG, WORLI, MUMBAI-400018",24921104,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065014,MUMBRA,THANE,MUMBAI,MAHARASHTRA,"RIZVI APARTMENTS, OPP. RAILWAY STATION, MUMBRA-400612",25462172,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065015,TURBHE,NEW BOMBAY,MUMBAI,MAHARASHTRA,"A.P.M.C.MARKET, ADMINISTRATIVE BLDG, TURBHE, NAVI MUMBAI-400705",27888044,true,true,GREATER MUMBAI,true,110229003
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065016,VASHI,NEW BOMBAY,MUMBAI,MAHARASHTRA,"ABHYUDAYA BANK BLDG., SECTOR 17, VASHI, NAVI MUMBAI-400705",27892458,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065017,MOBILE BANK,NEW BOMBAY,MUMBAI,MAHARASHTRA,"ABHYUDAYA BANK BLDG., SECTOR 17, VASHI, NAVI MUMBAI-400703",27892444,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065018,NEW PANVEL,PANVEL,MUMBAI,MAHARASHTRA,"ABHYUDAYA BANK BLDG., SECTOR 17, NEW PANVEL-410206",27453585,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065019,KALAMBOLI,KALAMBOLI,MUMBAI,MAHARASHTRA,"BLDG F-4, SHOP NO 17-20, SECTOR 3 EB, KALAMBOLI, NAVI MUMBAI-410218",27420148,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065020,DHARAVI,MUMBAI,MUMBAI,MAHARASHTRA,"WESTERN INDIA TANNERIES, SION DHARAVI ROAD, MUMBAI-400017",24077126,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065021,MALAD EAST,MUMBAI,MUMBAI,MAHARASHTRA,"148 ELLORA SHOPPING CENTRE, DAFTARY ROAD, MALAD (EAST), MUMBAI-400097",28800272,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065022,CBD BELAPUR,NEW BOMBAY,MUMBAI,MAHARASHTRA,"SECTOR-3, CHANAKYA SHOPPING CENTRE, BELAPUR (CBD), NAVI MUMBAI-400614",27572179,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065023,BHIWANDI,BHIWANDI,MUMBAI,MAHARASHTRA,"BLDG F-1,GOPAL NAGAR,BHIWANDI-KALYAN ROAD, BHIWANDI, 421302",251852,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065024,BORIVALI,MUMBAI,MUMBAI,MAHARASHTRA,"RATNADEEP APARTMENTS, CARTER ROAD NO.1, BORIVLI (EAST), MUMBAI-400066",28636529,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065025,HILL ROAD,MUMBAI,MUMBAI,MAHARASHTRA,"HILL-N-DALE, HILL ROAD, NR.BANDRA POLICE STATION, BANDRA (W), MUMBAI-400050",26402597,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065026,KHER NAGAR,MUMBAI,MUMBAI,MAHARASHTRA,"JANATA EDUCATION SOC. PREMISES, KHER NAGAR, BANDRA (E), MUMBAI-400051",26473470,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065027,KANDIVLI-EAST,MUMBAI,MUMBAI,MAHARASHTRA,"GUNDECHA INDL.COMPLEX, AKURLI RD, KANDIVLI (E), MUMBAI-400101",28851962,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065028,SHERLY RAJAN,MUMBAI,MUMBAI,MAHARASHTRA,"KHAIR HOUSE, SHERLY RAJAN RD, BANDRA (WEST), MUMBAI-400050",26047905,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065029,GANESH NAGAR,MUMBAI,MUMBAI,MAHARASHTRA,"NAVJIVAN VIDYA MANDIR, GANESH NAGAR, BHANDUP (W), MUMBAI-400078.",25951049,true,true,GREATER MUMBAI,true,
